event,pt,utc,signal_id,market_type,market_name,runner_name,entry_order_side,book_side,price,stake,liability,free_balance,fill_utc,exit_utc,pnl_proxy,pnl_status,note
FILL,1493557609250,2017-04-30T13:06:49.250000Z,2,TOTAL_GOALS,Total Goals,3 goals or more,LAY,ATB,1.57,4.0,2.280000,998.371132,2017-04-30T13:06:49.059000Z,2017-04-30T13:06:57.052000Z,0.284024,EXIT_FOUND,fill_proxy
EXIT,1493557617250,2017-04-30T13:06:57.250000Z,2,TOTAL_GOALS,Total Goals,3 goals or more,LAY,ATB,1.57,4.0,2.280000,998.371132,2017-04-30T13:06:49.059000Z,2017-04-30T13:06:57.052000Z,0.284024,EXIT_FOUND,exit_proxy
PLACE,1493557689750,2017-04-30T13:08:09.750000Z,3,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.3,4.0,4.000000,1000.935156,2017-04-30T13:08:13.272000Z,2017-04-30T13:08:18.219000Z,0.094488,EXIT_FOUND,placed
PLACE,1493557693000,2017-04-30T13:08:13Z,3,FIRST_HALF_GOALS_05,First Half Goals 0.5,Over 0.5 Goals,LAY,ATB,1.31,4.0,1.240000,996.935156,2017-04-30T13:08:18.452000Z,2017-04-30T13:08:21.881000Z,0.230216,EXIT_FOUND,placed
PLACE,1493557693250,2017-04-30T13:08:13.250000Z,3,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.26,4.0,1.040000,995.695156,2017-04-30T13:08:13.272000Z,2017-04-30T13:08:13.328000Z,0.031496,EXIT_FOUND,placed
PLACE,1493557693250,2017-04-30T13:08:13.250000Z,3,TOTAL_GOALS,Total Goals,3 goals or more,BACK,ATL,1.69,4.0,4.000000,994.655156,2017-04-30T13:08:13.272000Z,2017-04-30T13:08:15.566000Z,0.225,EXIT_FOUND,placed
FILL,1493557693500,2017-04-30T13:08:13.500000Z,3,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.3,4.0,4.000000,990.655156,2017-04-30T13:08:13.272000Z,2017-04-30T13:08:18.219000Z,0.094488,EXIT_FOUND,fill_proxy
FILL,1493557693500,2017-04-30T13:08:13.500000Z,3,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.26,4.0,1.040000,990.655156,2017-04-30T13:08:13.272000Z,2017-04-30T13:08:13.328000Z,0.031496,EXIT_FOUND,fill_proxy
FILL,1493557693500,2017-04-30T13:08:13.500000Z,3,TOTAL_GOALS,Total Goals,3 goals or more,BACK,ATL,1.69,4.0,4.000000,990.655156,2017-04-30T13:08:13.272000Z,2017-04-30T13:08:15.566000Z,0.225,EXIT_FOUND,fill_proxy
EXIT,1493557693750,2017-04-30T13:08:13.750000Z,3,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.26,4.0,1.040000,990.655156,2017-04-30T13:08:13.272000Z,2017-04-30T13:08:13.328000Z,0.031496,EXIT_FOUND,exit_proxy
EXIT,1493557695750,2017-04-30T13:08:15.750000Z,3,TOTAL_GOALS,Total Goals,3 goals or more,BACK,ATL,1.69,4.0,4.000000,991.726652,2017-04-30T13:08:13.272000Z,2017-04-30T13:08:15.566000Z,0.225,EXIT_FOUND,exit_proxy
EXIT,1493557698250,2017-04-30T13:08:18.250000Z,3,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.3,4.0,4.000000,995.951652,2017-04-30T13:08:13.272000Z,2017-04-30T13:08:18.219000Z,0.094488,EXIT_FOUND,exit_proxy
FILL,1493557698500,2017-04-30T13:08:18.500000Z,3,FIRST_HALF_GOALS_05,First Half Goals 0.5,Over 0.5 Goals,LAY,ATB,1.31,4.0,1.240000,1000.046140,2017-04-30T13:08:18.452000Z,2017-04-30T13:08:21.881000Z,0.230216,EXIT_FOUND,fill_proxy
EXIT,1493557702000,2017-04-30T13:08:22Z,3,FIRST_HALF_GOALS_05,First Half Goals 0.5,Over 0.5 Goals,LAY,ATB,1.31,4.0,1.240000,1000.046140,2017-04-30T13:08:18.452000Z,2017-04-30T13:08:21.881000Z,0.230216,EXIT_FOUND,exit_proxy
PLACE,1493557793500,2017-04-30T13:09:53.500000Z,4,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.3,4.0,4.000000,1001.516356,2017-04-30T13:09:55.722000Z,2017-04-30T13:09:55.946000Z,0.031008,EXIT_FOUND,placed
PLACE,1493557793500,2017-04-30T13:09:53.500000Z,4,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.27,4.0,1.080000,997.516356,2017-04-30T13:09:53.699000Z,2017-04-30T13:09:56.824000Z,0.092308,EXIT_FOUND,placed
FILL,1493557793750,2017-04-30T13:09:53.750000Z,4,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.27,4.0,1.080000,996.436356,2017-04-30T13:09:53.699000Z,2017-04-30T13:09:56.824000Z,0.092308,EXIT_FOUND,fill_proxy
PLACE,1493557794750,2017-04-30T13:09:54.750000Z,4,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.29,4.0,1.160000,996.436356,2017-04-30T13:09:54.842000Z,2017-04-30T13:09:56.824000Z,0.030769,EXIT_FOUND,placed
FILL,1493557795000,2017-04-30T13:09:55Z,4,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.29,4.0,1.160000,995.276356,2017-04-30T13:09:54.842000Z,2017-04-30T13:09:56.824000Z,0.030769,EXIT_FOUND,fill_proxy
FILL,1493557795750,2017-04-30T13:09:55.750000Z,4,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.3,4.0,4.000000,995.276356,2017-04-30T13:09:55.722000Z,2017-04-30T13:09:55.946000Z,0.031008,EXIT_FOUND,fill_proxy
EXIT,1493557796000,2017-04-30T13:09:56Z,4,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.3,4.0,4.000000,995.276356,2017-04-30T13:09:55.722000Z,2017-04-30T13:09:55.946000Z,0.031008,EXIT_FOUND,exit_proxy
PLACE,1493557796250,2017-04-30T13:09:56.250000Z,4,FIRST_HALF_GOALS_05,First Half Goals 0.5,Over 0.5 Goals,LAY,ATB,1.31,4.0,1.240000,999.307364,2017-04-30T13:10:02.388000Z,2017-04-30T13:10:05.589000Z,0.175182,EXIT_FOUND,placed
PLACE,1493557796500,2017-04-30T13:09:56.500000Z,4,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.2,4.0,0.800000,998.067364,2017-04-30T13:09:59.974000Z,2017-04-30T13:10:03.503000Z,0.390977,EXIT_FOUND,placed
PLACE,1493557796500,2017-04-30T13:09:56.500000Z,4,TOTAL_GOALS,Total Goals,2 goals or more,LAY,ATB,1.2,4.0,0.800000,997.267364,,,0.0,NO_FILL_PROXY,placed
EXIT,1493557797000,2017-04-30T13:09:57Z,4,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.27,4.0,1.080000,996.467364,2017-04-30T13:09:53.699000Z,2017-04-30T13:09:56.824000Z,0.092308,EXIT_FOUND,exit_proxy
EXIT,1493557797000,2017-04-30T13:09:57Z,4,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.29,4.0,1.160000,997.639672,2017-04-30T13:09:54.842000Z,2017-04-30T13:09:56.824000Z,0.030769,EXIT_FOUND,exit_proxy
FILL,1493557800000,2017-04-30T13:10:00Z,4,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.2,4.0,0.800000,998.830441,2017-04-30T13:09:59.974000Z,2017-04-30T13:10:03.503000Z,0.390977,EXIT_FOUND,fill_proxy
FILL,1493557802500,2017-04-30T13:10:02.500000Z,4,FIRST_HALF_GOALS_05,First Half Goals 0.5,Over 0.5 Goals,LAY,ATB,1.31,4.0,1.240000,998.830441,2017-04-30T13:10:02.388000Z,2017-04-30T13:10:05.589000Z,0.175182,EXIT_FOUND,fill_proxy
EXIT,1493557803750,2017-04-30T13:10:03.750000Z,4,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.2,4.0,0.800000,998.830441,2017-04-30T13:09:59.974000Z,2017-04-30T13:10:03.503000Z,0.390977,EXIT_FOUND,exit_proxy
EXIT,1493557805750,2017-04-30T13:10:05.750000Z,4,FIRST_HALF_GOALS_05,First Half Goals 0.5,Over 0.5 Goals,LAY,ATB,1.31,4.0,1.240000,1000.021418,2017-04-30T13:10:02.388000Z,2017-04-30T13:10:05.589000Z,0.175182,EXIT_FOUND,exit_proxy
PLACE,1493557917250,2017-04-30T13:11:57.250000Z,5,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,ATB,1.49,4.0,1.960000,1001.436600,2017-04-30T13:12:19.490000Z,2017-04-30T13:12:19.490000Z,0.298137,EXIT_FOUND,placed
PLACE,1493557920250,2017-04-30T13:12:00.250000Z,5,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.3,4.0,4.000000,999.476600,2017-04-30T13:12:01.218000Z,2017-04-30T13:12:01.714000Z,0.0625,EXIT_FOUND,placed
FILL,1493557921250,2017-04-30T13:12:01.250000Z,5,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.3,4.0,4.000000,995.476600,2017-04-30T13:12:01.218000Z,2017-04-30T13:12:01.714000Z,0.0625,EXIT_FOUND,fill_proxy
EXIT,1493557921750,2017-04-30T13:12:01.750000Z,5,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.3,4.0,4.000000,995.476600,2017-04-30T13:12:01.218000Z,2017-04-30T13:12:01.714000Z,0.0625,EXIT_FOUND,exit_proxy
PLACE,1493557921750,2017-04-30T13:12:01.750000Z,5,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.32,4.0,4.000000,999.539100,2017-04-30T13:12:03.043000Z,2017-04-30T13:12:03.227000Z,0.125,EXIT_FOUND,placed
PLACE,1493557921750,2017-04-30T13:12:01.750000Z,5,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.28,4.0,1.120000,995.539100,2017-04-30T13:12:18.754000Z,2017-04-30T13:12:19.609000Z,0.061538,EXIT_FOUND,placed
FILL,1493557923250,2017-04-30T13:12:03.250000Z,5,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.32,4.0,4.000000,994.419100,2017-04-30T13:12:03.043000Z,2017-04-30T13:12:03.227000Z,0.125,EXIT_FOUND,fill_proxy
EXIT,1493557923500,2017-04-30T13:12:03.500000Z,5,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.32,4.0,4.000000,994.419100,2017-04-30T13:12:03.043000Z,2017-04-30T13:12:03.227000Z,0.125,EXIT_FOUND,exit_proxy
FILL,1493557939000,2017-04-30T13:12:19Z,5,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.28,4.0,1.120000,998.544100,2017-04-30T13:12:18.754000Z,2017-04-30T13:12:19.609000Z,0.061538,EXIT_FOUND,fill_proxy
FILL,1493557939500,2017-04-30T13:12:19.500000Z,5,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,ATB,1.49,4.0,1.960000,998.544100,2017-04-30T13:12:19.490000Z,2017-04-30T13:12:19.490000Z,0.298137,EXIT_FOUND,fill_proxy
EXIT,1493557939750,2017-04-30T13:12:19.750000Z,5,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,ATB,1.49,4.0,1.960000,998.544100,2017-04-30T13:12:19.490000Z,2017-04-30T13:12:19.490000Z,0.298137,EXIT_FOUND,exit_proxy
EXIT,1493557939750,2017-04-30T13:12:19.750000Z,5,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.28,4.0,1.120000,1000.802237,2017-04-30T13:12:18.754000Z,2017-04-30T13:12:19.609000Z,0.061538,EXIT_FOUND,exit_proxy
PLACE,1493557978500,2017-04-30T13:12:58.500000Z,6,FIRST_HALF_GOALS_05,First Half Goals 0.5,Over 0.5 Goals,LAY,ATB,1.36,4.0,1.440000,1001.983775,2017-04-30T13:13:01.680000Z,2017-04-30T13:13:02.417000Z,0.222222,EXIT_FOUND,placed
PLACE,1493557979250,2017-04-30T13:12:59.250000Z,6,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.3,4.0,1.200000,1000.543775,2017-04-30T13:12:59.566000Z,2017-04-30T13:12:59.833000Z,0.090226,EXIT_FOUND,placed
FILL,1493557979750,2017-04-30T13:12:59.750000Z,6,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.3,4.0,1.200000,999.343775,2017-04-30T13:12:59.566000Z,2017-04-30T13:12:59.833000Z,0.090226,EXIT_FOUND,fill_proxy
EXIT,1493557980000,2017-04-30T13:13:00Z,6,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.3,4.0,1.200000,999.343775,2017-04-30T13:12:59.566000Z,2017-04-30T13:12:59.833000Z,0.090226,EXIT_FOUND,exit_proxy
PLACE,1493557980000,2017-04-30T13:13:00Z,6,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.29,4.0,1.160000,1000.634001,2017-04-30T13:13:00.452000Z,2017-04-30T13:13:02.300000Z,0.061069,EXIT_FOUND,placed
FILL,1493557980500,2017-04-30T13:13:00.500000Z,6,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.29,4.0,1.160000,999.474001,2017-04-30T13:13:00.452000Z,2017-04-30T13:13:02.300000Z,0.061069,EXIT_FOUND,fill_proxy
FILL,1493557981750,2017-04-30T13:13:01.750000Z,6,FIRST_HALF_GOALS_05,First Half Goals 0.5,Over 0.5 Goals,LAY,ATB,1.36,4.0,1.440000,999.474001,2017-04-30T13:13:01.680000Z,2017-04-30T13:13:02.417000Z,0.222222,EXIT_FOUND,fill_proxy
EXIT,1493557982500,2017-04-30T13:13:02.500000Z,6,FIRST_HALF_GOALS_05,First Half Goals 0.5,Over 0.5 Goals,LAY,ATB,1.36,4.0,1.440000,999.474001,2017-04-30T13:13:01.680000Z,2017-04-30T13:13:02.417000Z,0.222222,EXIT_FOUND,exit_proxy
EXIT,1493557982500,2017-04-30T13:13:02.500000Z,6,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.29,4.0,1.160000,1001.136223,2017-04-30T13:13:00.452000Z,2017-04-30T13:13:02.300000Z,0.061069,EXIT_FOUND,exit_proxy
PLACE,1493558192500,2017-04-30T13:16:32.500000Z,7,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,ATB,1.44,4.0,1.760000,1002.357292,2017-04-30T13:17:02.133000Z,2017-04-30T13:17:03.817000Z,0.25974,EXIT_FOUND,placed
PLACE,1493558192750,2017-04-30T13:16:32.750000Z,7,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.22,4.0,0.880000,1000.597292,2017-04-30T13:16:52.324000Z,2017-04-30T13:16:53.736000Z,0.330827,EXIT_FOUND,placed
PLACE,1493558193000,2017-04-30T13:16:33Z,7,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,ATB,1.69,4.0,2.760000,999.717292,2017-04-30T13:16:52.324000Z,2017-04-30T13:16:53.736000Z,0.365591,EXIT_FOUND,placed
PLACE,1493558194750,2017-04-30T13:16:34.750000Z,7,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.31,4.0,4.000000,996.957292,2017-04-30T13:16:35.933000Z,2017-04-30T13:16:38.494000Z,0.125984,EXIT_FOUND,placed
FILL,1493558196000,2017-04-30T13:16:36Z,7,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.31,4.0,4.000000,992.957292,2017-04-30T13:16:35.933000Z,2017-04-30T13:16:38.494000Z,0.125984,EXIT_FOUND,fill_proxy
EXIT,1493558198500,2017-04-30T13:16:38.500000Z,7,MATCH_ODDS,Match Odds,Man City,BACK,ATL,1.31,4.0,4.000000,992.957292,2017-04-30T13:16:35.933000Z,2017-04-30T13:16:38.494000Z,0.125984,EXIT_FOUND,exit_proxy
FILL,1493558212500,2017-04-30T13:16:52.500000Z,7,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.22,4.0,0.880000,997.083276,2017-04-30T13:16:52.324000Z,2017-04-30T13:16:53.736000Z,0.330827,EXIT_FOUND,fill_proxy
FILL,1493558212500,2017-04-30T13:16:52.500000Z,7,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,ATB,1.69,4.0,2.760000,997.083276,2017-04-30T13:16:52.324000Z,2017-04-30T13:16:53.736000Z,0.365591,EXIT_FOUND,fill_proxy
EXIT,1493558213750,2017-04-30T13:16:53.750000Z,7,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.22,4.0,0.880000,997.083276,2017-04-30T13:16:52.324000Z,2017-04-30T13:16:53.736000Z,0.330827,EXIT_FOUND,exit_proxy
EXIT,1493558213750,2017-04-30T13:16:53.750000Z,7,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,ATB,1.69,4.0,2.760000,998.294103,2017-04-30T13:16:52.324000Z,2017-04-30T13:16:53.736000Z,0.365591,EXIT_FOUND,exit_proxy
FILL,1493558222250,2017-04-30T13:17:02.250000Z,7,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,ATB,1.44,4.0,1.760000,1001.419694,2017-04-30T13:17:02.133000Z,2017-04-30T13:17:03.817000Z,0.25974,EXIT_FOUND,fill_proxy
EXIT,1493558224000,2017-04-30T13:17:04Z,7,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,ATB,1.44,4.0,1.760000,1001.419694,2017-04-30T13:17:02.133000Z,2017-04-30T13:17:03.817000Z,0.25974,EXIT_FOUND,exit_proxy
PLACE,1493558302000,2017-04-30T13:18:22Z,8,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.27,4.0,1.080000,1003.439434,2017-04-30T13:18:21.949000Z,2017-04-30T13:18:22.179000Z,0.180451,EXIT_FOUND,placed
FILL,1493558302250,2017-04-30T13:18:22.250000Z,8,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.27,4.0,1.080000,1002.359434,2017-04-30T13:18:21.949000Z,2017-04-30T13:18:22.179000Z,0.180451,EXIT_FOUND,fill_proxy
EXIT,1493558302500,2017-04-30T13:18:22.500000Z,8,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.27,4.0,1.080000,1002.359434,2017-04-30T13:18:21.949000Z,2017-04-30T13:18:22.179000Z,0.180451,EXIT_FOUND,exit_proxy
PLACE,1493558410250,2017-04-30T13:20:10.250000Z,9,TOTAL_GOALS,Total Goals,2 goals or more,LAY,ATB,1.26,4.0,1.040000,1003.619885,,,0.0,NO_FILL_PROXY,placed
PLACE,1493558411000,2017-04-30T13:20:11Z,9,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.26,4.0,1.040000,1002.579885,,,0.0,NO_FILL_PROXY,placed
PLACE,1493558411000,2017-04-30T13:20:11Z,9,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.29,4.0,1.160000,1001.539885,,,0.0,NO_FILL_PROXY,placed
PLACE,1493558411250,2017-04-30T13:20:11.250000Z,9,FIRST_HALF_GOALS_05,First Half Goals 0.5,Over 0.5 Goals,LAY,ATB,1.51,4.0,2.040000,1000.379885,2017-04-30T13:20:17.492000Z,2017-04-30T13:20:29.937000Z,0.248447,EXIT_FOUND,placed
PLACE,1493558412500,2017-04-30T13:20:12.500000Z,9,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.25,4.0,1.000000,998.339885,2017-04-30T13:20:22.134000Z,2017-04-30T13:20:29.067000Z,0.183206,EXIT_FOUND,placed
FILL,1493558417500,2017-04-30T13:20:17.500000Z,9,FIRST_HALF_GOALS_05,First Half Goals 0.5,Over 0.5 Goals,LAY,ATB,1.51,4.0,2.040000,997.339885,2017-04-30T13:20:17.492000Z,2017-04-30T13:20:29.937000Z,0.248447,EXIT_FOUND,fill_proxy
FILL,1493558422250,2017-04-30T13:20:22.250000Z,9,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.25,4.0,1.000000,997.339885,2017-04-30T13:20:22.134000Z,2017-04-30T13:20:29.067000Z,0.183206,EXIT_FOUND,fill_proxy
EXIT,1493558429250,2017-04-30T13:20:29.250000Z,9,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.25,4.0,1.000000,997.339885,2017-04-30T13:20:22.134000Z,2017-04-30T13:20:29.067000Z,0.183206,EXIT_FOUND,exit_proxy
EXIT,1493558430000,2017-04-30T13:20:30Z,9,FIRST_HALF_GOALS_05,First Half Goals 0.5,Over 0.5 Goals,LAY,ATB,1.51,4.0,2.040000,998.523091,2017-04-30T13:20:17.492000Z,2017-04-30T13:20:29.937000Z,0.248447,EXIT_FOUND,exit_proxy
PLACE,1493558452000,2017-04-30T13:20:52Z,10,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.26,4.0,1.040000,1000.811538,2017-04-30T13:20:52.672000Z,2017-04-30T13:21:00.768000Z,0.210526,EXIT_FOUND,placed
PLACE,1493558452500,2017-04-30T13:20:52.500000Z,10,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,ATB,1.8,4.0,3.200000,999.771538,2017-04-30T13:20:58.042000Z,2017-04-30T13:20:58.738000Z,0.38191,EXIT_FOUND,placed
FILL,1493558452750,2017-04-30T13:20:52.750000Z,10,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.26,4.0,1.040000,996.571538,2017-04-30T13:20:52.672000Z,2017-04-30T13:21:00.768000Z,0.210526,EXIT_FOUND,fill_proxy
PLACE,1493558454250,2017-04-30T13:20:54.250000Z,10,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.27,4.0,1.080000,996.571538,2017-04-30T13:20:56.916000Z,2017-04-30T13:21:00.768000Z,0.180451,EXIT_FOUND,placed
FILL,1493558457000,2017-04-30T13:20:57Z,10,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.27,4.0,1.080000,995.491538,2017-04-30T13:20:56.916000Z,2017-04-30T13:21:00.768000Z,0.180451,EXIT_FOUND,fill_proxy
FILL,1493558458250,2017-04-30T13:20:58.250000Z,10,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,ATB,1.8,4.0,3.200000,995.491538,2017-04-30T13:20:58.042000Z,2017-04-30T13:20:58.738000Z,0.38191,EXIT_FOUND,fill_proxy
EXIT,1493558458750,2017-04-30T13:20:58.750000Z,10,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,ATB,1.8,4.0,3.200000,995.491538,2017-04-30T13:20:58.042000Z,2017-04-30T13:20:58.738000Z,0.38191,EXIT_FOUND,exit_proxy
EXIT,1493558461000,2017-04-30T13:21:01Z,10,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.26,4.0,1.040000,999.073448,2017-04-30T13:20:52.672000Z,2017-04-30T13:21:00.768000Z,0.210526,EXIT_FOUND,exit_proxy
EXIT,1493558461000,2017-04-30T13:21:01Z,10,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.27,4.0,1.080000,1000.323974,2017-04-30T13:20:56.916000Z,2017-04-30T13:21:00.768000Z,0.180451,EXIT_FOUND,exit_proxy
PLACE,1493558525750,2017-04-30T13:22:05.750000Z,11,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.33,4.0,1.320000,1001.584425,2017-04-30T13:22:06.713000Z,2017-04-30T13:22:09.173000Z,0.116788,EXIT_FOUND,placed
FILL,1493558526750,2017-04-30T13:22:06.750000Z,11,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.33,4.0,1.320000,1000.264425,2017-04-30T13:22:06.713000Z,2017-04-30T13:22:09.173000Z,0.116788,EXIT_FOUND,fill_proxy
EXIT,1493558529250,2017-04-30T13:22:09.250000Z,11,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.33,4.0,1.320000,1000.264425,2017-04-30T13:22:06.713000Z,2017-04-30T13:22:09.173000Z,0.116788,EXIT_FOUND,exit_proxy
PLACE,1493558529250,2017-04-30T13:22:09.250000Z,11,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,ATB,1.28,4.0,1.120000,1001.701213,2017-04-30T13:22:34.852000Z,2017-04-30T13:22:43.907000Z,0.179104,EXIT_FOUND,placed
PLACE,1493558529250,2017-04-30T13:22:09.250000Z,11,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.3,4.0,1.200000,1000.581213,2017-04-30T13:22:20.471000Z,2017-04-30T13:22:25.931000Z,0.148148,EXIT_FOUND,placed
