event,pt,utc,order_id,signal_id,market_type,market_name,runner_name,side,price,stake,matched,remaining,queue_ahead_initial,queue_ahead_remaining,status,liability,free_balance,queue_delta,matched_now,action_source,action_count,action_amount,pnl_v3,matched_fraction,exit_utc,exit_price,settlement,note
PLACE,1493557440000,2017-04-30T13:04:00Z,14|1.131162847|5851482|None|BACK|1.14|2017-04-30T13:03:59.809000Z,14,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.140000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,944.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,15|1.131162847|5851482|None|BACK|1.15|2017-04-30T13:03:59.809000Z,15,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.150000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,15|1.131162847|5851482|None|BACK|1.15|2017-04-30T13:03:59.809000Z,15,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.150000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,940.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,16|1.131162847|5851482|None|BACK|1.16|2017-04-30T13:03:59.809000Z,16,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.160000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,16|1.131162847|5851482|None|BACK|1.16|2017-04-30T13:03:59.809000Z,16,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.160000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,936.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,17|1.131162847|5851482|None|BACK|1.17|2017-04-30T13:03:59.809000Z,17,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.170000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,17|1.131162847|5851482|None|BACK|1.17|2017-04-30T13:03:59.809000Z,17,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.170000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,932.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,18|1.131162847|5851482|None|BACK|1.18|2017-04-30T13:03:59.809000Z,18,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.180000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,18|1.131162847|5851482|None|BACK|1.18|2017-04-30T13:03:59.809000Z,18,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.180000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,928.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,19|1.131162847|5851482|None|BACK|1.19|2017-04-30T13:03:59.809000Z,19,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.190000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,19|1.131162847|5851482|None|BACK|1.19|2017-04-30T13:03:59.809000Z,19,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.190000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,924.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,20|1.131162847|5851482|None|BACK|1.2|2017-04-30T13:03:59.809000Z,20,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.200000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,20|1.131162847|5851482|None|BACK|1.2|2017-04-30T13:03:59.809000Z,20,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.200000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,920.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,21|1.131162847|5851482|None|BACK|1.21|2017-04-30T13:03:59.809000Z,21,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.210000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,21|1.131162847|5851482|None|BACK|1.21|2017-04-30T13:03:59.809000Z,21,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.210000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,916.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,22|1.131162847|5851482|None|BACK|1.22|2017-04-30T13:03:59.809000Z,22,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.220000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,22|1.131162847|5851482|None|BACK|1.22|2017-04-30T13:03:59.809000Z,22,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.220000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,912.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
