signal_id,signal_utc,minute,phase,score,market_type,market_name,runner_name,side,price,stake,engine_add_amount,engine_add_count,first_add_utc,future_match_amount,future_remove_amount,fill_proxy,fill_proxy_amount,cancel_proxy,same_level_remove_amount,same_level_match_amount,opposite_side_match_amount,near_remove_match_same_amount,near_remove_match_opp_amount,outcome,entry_order_side,fill_utc,exit_utc,exit_proxy,exit_side,exit_price,price_diff,pnl_proxy,pnl_status
40,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.15,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
41,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.16,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
42,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.17,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
43,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.18,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
44,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.19,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
45,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.2,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
46,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.21,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
47,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.22,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
48,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.23,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
49,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.24,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
50,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.25,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
51,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.01,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
52,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.02,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
53,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.03,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
54,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.04,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
55,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.05,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
56,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.06,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
57,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.07,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
58,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.08,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
59,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.09,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
60,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.1,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
61,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.11,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
62,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.12,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
63,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.13,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
64,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.14,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
65,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.15,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
66,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.16,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
67,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.17,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
68,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.18,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
69,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.19,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
70,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_25,Over/Under 2.5 Goals,Under 2.5 Goals,ATL,1.2,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
