event,pt,utc,order_id,signal_id,market_type,market_name,runner_name,side,price,stake,matched,remaining,queue_ahead_initial,queue_ahead_remaining,status,liability,free_balance,queue_delta,matched_now,action_source,action_count,action_amount,pnl_v3,matched_fraction,exit_utc,exit_price,settlement,note
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,84|1.131162757|1222344|None|LAY|1.09|2017-04-30T13:03:59.809000Z,84,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.090000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,84|1.131162757|1222344|None|LAY|1.09|2017-04-30T13:03:59.809000Z,84,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.090000,4.000000,0.000000,4.000000,1056.750000,1056.750000,open,0.360000,959.200000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,85|1.131162757|1222344|None|LAY|1.1|2017-04-30T13:03:59.809000Z,85,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.100000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,85|1.131162757|1222344|None|LAY|1.1|2017-04-30T13:03:59.809000Z,85,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.100000,4.000000,0.000000,4.000000,1039.920000,1039.920000,open,0.400000,958.800000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,86|1.131162757|1222344|None|LAY|1.11|2017-04-30T13:03:59.809000Z,86,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.110000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,86|1.131162757|1222344|None|LAY|1.11|2017-04-30T13:03:59.809000Z,86,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.110000,4.000000,0.000000,4.000000,730.720000,730.720000,open,0.440000,958.360000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,87|1.131162757|1222344|None|LAY|1.12|2017-04-30T13:03:59.809000Z,87,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.120000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,87|1.131162757|1222344|None|LAY|1.12|2017-04-30T13:03:59.809000Z,87,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.120000,4.000000,0.000000,4.000000,640.360000,640.360000,open,0.480000,957.880000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,88|1.131162757|1222344|None|LAY|1.13|2017-04-30T13:03:59.809000Z,88,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.130000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,88|1.131162757|1222344|None|LAY|1.13|2017-04-30T13:03:59.809000Z,88,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.130000,4.000000,0.000000,4.000000,640.360000,640.360000,open,0.520000,957.360000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
