event,pt,utc,order_id,signal_id,market_type,market_name,runner_name,side,price,stake,matched,remaining,queue_ahead_initial,queue_ahead_remaining,status,liability,free_balance,queue_delta,matched_now,action_source,action_count,action_amount,pnl_v3,matched_fraction,exit_utc,exit_price,settlement,note
REQUEST_PLACE,1493558784000,2017-04-30T13:26:24Z,13|1.131162807|285470|-2.0|LAY|1.32|2017-04-30T13:26:23.830Z,13,TOTAL_GOALS,Total Goals,2 goals or more,LAY,1.320000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493558785000,2017-04-30T13:26:25Z,13|1.131162723|1221386|None|LAY|1.32|2017-04-30T13:26:19.810Z,13,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,1.320000,4.000000,0.000000,4.000000,3639.420000,3639.420000,open,1.280000,998.720000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493558786000,2017-04-30T13:26:26Z,13|1.131162807|285470|-2.0|BACK|1.36|2017-04-30T13:26:20.794Z,13,TOTAL_GOALS,Total Goals,2 goals or more,BACK,1.360000,4.000000,0.000000,4.000000,2042.180000,2042.180000,open,4.000000,994.720000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493558786750,2017-04-30T13:26:26.750000Z,13|1.131162806|47999|None|LAY|1.32|2017-04-30T13:26:21.636Z,13,MATCH_ODDS,Match Odds,Man City,LAY,1.320000,4.000000,0.000000,4.000000,9466.340000,9466.340000,open,1.280000,993.440000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493558786750,2017-04-30T13:26:26.750000Z,13|1.131162806|47999|None|BACK|1.47|2017-04-30T13:26:21.700Z,13,MATCH_ODDS,Match Odds,Man City,BACK,1.470000,4.000000,0.000000,4.000000,1221.330000,1221.330000,open,4.000000,989.440000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493558787500,2017-04-30T13:26:27.500000Z,13|1.131162719|47973|None|LAY|2|2017-04-30T13:26:22.371Z,13,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,2.000000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,985.440000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493558789000,2017-04-30T13:26:29Z,13|1.131162807|285470|-2.0|LAY|1.32|2017-04-30T13:26:23.830Z,13,TOTAL_GOALS,Total Goals,2 goals or more,LAY,1.320000,4.000000,0.000000,4.000000,2627.860000,2627.860000,open,1.280000,984.160000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
FILL,1493558803000,2017-04-30T13:26:43Z,13|1.131162806|47999|None|BACK|1.47|2017-04-30T13:26:21.700Z,,MATCH_ODDS,Match Odds,Man City,BACK,1.470000,4.000000,4.000000,0.000000,1221.330000,0.000000,filled,4.000000,988.160000,2456.610000,4.000000,VISIBLE_REMOVE,2,2456.610000,0.000000,0.000000,,,,action_log_consumption
FILL,1493558803000,2017-04-30T13:26:43Z,13|1.131162719|47973|None|LAY|2|2017-04-30T13:26:22.371Z,,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,2.000000,4.000000,4.000000,0.000000,0.000000,0.000000,filled,4.000000,992.160000,10.040000,4.000000,VISIBLE_REMOVE,1,10.040000,0.000000,0.000000,,,,action_log_consumption
EXIT,1493558803000,2017-04-30T13:26:43Z,13|1.131162719|47973|None|LAY|2|2017-04-30T13:26:22.371Z,13,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,2.000000,4.000000,4.000000,0.000000,0.000000,0.000000,exited,4.000000,992.160000,0.000000,0.000000,,0,0.000000,-0.153846,1.000000,2017-04-30T13:26:51.590000Z,2.080000,fallback_after_fill,fallback_exit_after_fill
